Sr No,date,startup,vertical,subvertical,city,investors,round,amount,year,month
1,2020-01-09,Byjus,Education,E-Learning,Bangalore,Tiger Global Management,Unknown,1650.0,2020,1
2,2020-01-13,Shuttl,Logistics,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,66.3992505,2020,1
3,2020-01-09,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bangalore,Sequoia Capital India,Series B,151.460595,2020,1
4,2020-01-02,Https://Www.Wealthbucket.In/,Finance,Online Investment,Delhi,Vinod Khatumal,Seed,24.75,2020,1
5,2020-01-02,Fashor,Lifestyle & Fashion,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed,14.85,2020,1
6,2020-01-13,Pando,Logistics,Open-Market Freight Management Platform,Chennai,Chiratae Ventures,Series A,74.25,2020,1
7,2020-01-10,Zomato,Software,Online Food Delivery Platform,Gurgaon,Ant Financial,Unknown,1237.5,2020,1
8,2019-12-12,Ecozen,Software,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.5,2019,12
9,2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,577.5,2019,12
10,2019-12-03,Dhruva,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,412.5,2019,12
11,2019-12-13,Rivigo,Software,Logistics Services And Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165.0,2019,12
12,2019-12-17,Healthi,Consumables,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.0,2019,12
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,247.5,2019,12
14,2019-12-16,Incred,Finance,Non-Banking Fiothercial Company,Mumbai,undisclosed,Debt,48.675,2019,12
15,2019-12-14,Trell,Gaming & Entertainment,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed,16.5,2019,12
16,2019-12-11,Rein Games,Gaming & Entertainment,Real Money Based Gaming Startup,Noida,Manipal Education and Medical Group (MEMG),Seed,412.5,2019,12
17,2019-12-20,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1905.75,2019,12
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,Outside India,"Sequoia, CapitalG, Accel",Series H,1237.5,2019,11
19,2019-11-14,Misters,Healthcare & Hospitality,Men'S Health And Wellness Brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.0095,2019,11
20,2019-11-13,Sunstone Eduversity Pvt Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375,2019,11
21,2019-11-17,Burger Singh,Consumables,Indian Burger Brand,Gurgaon,RB Investments,Unknown,0.0,2019,11
22,2019-11-18,Healthi,Healthcare & Hospitality,Healthcare Services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99.0,2019,11
23,2019-11-15,Ninjacart,Logistics,Agritech,Bangalore,Trifecta Capital Advisors,Debt,214.5,2019,11
24,2019-11-20,Aye Finance,Finance,Fiothercial Services To Msmes,Gurgaon,FinTech,Debt,143.64293625,2019,11
25,2019-11-12,Supergaming,Gaming & Entertainment,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,10.725,2019,11
26,2019-11-20,Clumio,Software,Recovery Software,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1113.75,2019,11
27,2019-11-11,Ebikego,Logistics,Electric Bike Rental,Amritsar,Startup Buddy,Seed,2.475,2019,11
28,2019-11-19,Digit,E-Commerce,Virtual E-Commerce Platform,Delhi,Amour Infrastructure,Seed Funding,1815.0,2019,11
29,2019-11-18,Medikabazaar,Healthcare & Hospitality,B2B Platform For Medical Supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,130.35,2019,11
30,2019-11-15,Vogo,Logistics,Scooter Sharing App,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2334.75,2019,11
31,2019-11-19,Furtados School Of Music,Education,Music Education,Outside India,IAN Fund and DSG Consumer Partners,Unknown,1650.0,2019,11
32,2019-11-25,Paytm,Finance,Mobile Wallet,Noida,Vijay Shekhar Sharma,Unknown,8250.0,2019,11
33,2019-10-04,Dunzo,Marketing,Delivery Service,Bangalore,Lightbox,Series D,371.25,2019,10
34,2019-10-02,Udaan,Logistics,Business Development,Bangalore,"Altimeter Capital, DST Global",Series D,4826.25,2019,10
35,2019-10-21,The Man Company,Consumables,Beauty And Grooming,Gurgaon,Ayushmann Khurana,Unknown,0.0,2019,10
36,2019-09-05,Fpl Technologies,Finance,Fiothercial Services,Pune,"Matrix Partners India, Sequoia India",Seed,37.125,2019,9
37,2019-09-04,Cashflo,Finance,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,SAIF Partners,Series A,27.225,2019,9
38,2019-09-04,Digit,Marketing,Digital Marketing Firm,Mumbai,TIW Private Equity,Unknown,49.5,2019,9
39,2019-09-04,3Rdflix,Software,Education Technology,Hyderabad,Exfinity Venture Partners,Seed,41.25,2019,9
40,2019-09-04,75F,Cutting Edge Tech,Building Automation System,Outside India,Breakthrough Energy Ventures,Series A,148.5,2019,9
41,2019-09-04,Myelin Foundry,Software,Deep-Technology,Bangalore,Endiya Partners,Seed,8.25,2019,9
42,2019-09-04,Atomberg,Software,Consumer Electronics Home Appliances,Mumbai,A91 Partners,Series A,82.5,2019,9
43,2019-09-04,Goqii,Healthcare & Hospitality,Wearable Fitness Bands,Outside India,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5,2019,9
44,2019-09-03,Vyapar App,Finance,Mobile-Based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,41.25,2019,9
45,2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,165.0,2019,8
46,2019-08-01,Progcap,Finance,Supply Chain Management,Delhi,Sequoia India,Series A,41.25,2019,8
47,2019-08-01,Mypetrolpump,Cutting Edge Tech,Fuel Delivery,Bangalore,undisclosed,Seed,13.2,2019,8
48,2019-08-01,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Unknown,1155.0,2019,8
49,2019-08-01,Pine Labs,Software,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Unknown,314.16,2019,8
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,1031.25,2019,8
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurgaon,MS Dhoni,Series D,90.75,2019,8
52,2019-08-13,Uniphore,Software,Conversational Ai,Outside India,March Capital Partners,Series C,420.75,2019,8
53,2019-08-23,Zendrive,Automobile,Road Safety Analytics,Outside India,XL Innovate,Series B,305.25,2019,8
54,2019-08-23,Lo Foods,Consumables,Low Carb Food For Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed,4.125,2019,8
55,2019-08-23,Tala,Finance,Digital Lending Platform,Outside India,RPS Ventures,Series D,907.5,2019,8
56,2019-08-22,Indwealth,Finance,Wealth Management,Gurgaon,Tiger Global Management,Unknown,123.75,2019,8
57,2019-08-21,Hungerbox,Consumables,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,54.3675,2019,8
58,2019-08-23,Admitkard,Education,University Admissions,Noida,Growth DNA,Seed,8.25,2019,8
59,2019-08-19,Mishry Reviews,Software,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019,8
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,577.5,2019,8
61,2019-08-27,Rapido,Logistics,Bike Taxi,Bangalore,Westbridge Capital,Series B,32175.0,2019,8
62,2019-07-02,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,156.75,2019,7
63,2019-07-02,Atlan,Software,Big Data,Outside India,WaterBridge Ventures,Seed,20.625,2019,7
64,2019-07-01,Wizcounsel,Compliance,Consulting,Delhi,Kapil Dev,Seed,1.19625,2019,7
65,2019-07-03,Ola,Logistics,Cabs,Bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,2019,7
66,2019-07-01,Uniphore,Cutting Edge Tech,Speech Recognition,Outside India,March Capital Partners,Series C,314.16,2019,7
67,2019-07-04,Daalchini Technologies,Consumables,Digital Vending Machine,Delhi,Artha Venture,Seed,4.125,2019,7
68,2019-07-10,Byjus,Education,Education,Bangalore,Qatar Investment Authority,Unknown,1237.5,2019,7
69,2019-07-11,Moglix,E-Commerce,Industrial Tools And Equipments,Outside India,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495.0,2019,7
70,2019-07-10,Ezyhaul,Cutting Edge Tech,Logistics,Outside India,Undisclosed,Series B,132.0,2019,7
71,2019-07-10,Indus Os,Cutting Edge Tech,Smartphone Operating System,Mumbai,Ventureast,Series B,47.4375,2019,7
72,2019-07-10,Healthassure,Healthcare & Hospitality,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,20.625,2019,7
73,2019-07-09,House Of Msasaba,Lifestyle & Fashion,Clothes And Apparel,Mumbai,Binny Bansal,Series A,8.25,2019,7
74,2019-07-08,Board Infinity,Education,Full-Stack Career Platform,Mumbai,Multiple Angel Investors,Seed,2.63674125,2019,7
75,2019-06-05,Nobroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,420.75,2019,6
76,2019-06-04,Bira91,Consumables,Brewery,Delhi,Anicut Capital,Debt,82.5,2019,6
77,2019-06-03,Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,40.342298205,2019,6
78,2019-06-03,Avail Finance,Finance,Fintech,Bangalore,Matrix Partners,Series A,74.25,2019,6
79,2019-06-04,Bharatpe,Finance,Fintech,Delhi,Insight Partners,Series B,618.75,2019,6
80,2019-06-04,Recykal,Energy & Waste Management,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Seed,214.5,2019,6
81,2019-06-03,Agara Labs,Cutting Edge Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Seed,20.625,2019,6
82,2019-06-06,Sistemabio,Agriculture,Hybrid Reactor Biodigestor,Outside India,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,22.59703611,2019,6
83,2019-06-06,Chakr Innovation,Energy & Waste Management,Renewable Energy,Delhi,IAN Fund,Series A,214.5,2019,6
84,2019-06-06,Pratilipi,Software,E-Books,Bangalore,Qiming Venture Partners,Series B,124.653375,2019,6
85,2019-06-10,Bolo App,Software,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,3.54915,2019,6
86,2019-06-10,Okcredit,Finance,Fiothercial Services,Haryana,Tiger Global Management,Series A,127.875,2019,6
87,2019-06-06,Biz2Credit,Finance,Online Lending Platform,Outside India,WestBridge Capital,Series B,429.0,2019,6
88,2019-06-08,Vogo,Logistics,Dockless Scooter Rental Company,Bangalore,Alteria Capital,Debt,29.568,2019,6
89,2019-06-04,Leegality,Software,Digital Documentation,Bangalore,Mumbai Angels,Series A,28.05,2019,6
90,2019-05-06,Ola,Logistics,Cabs,Bangalore,Tata Sons,Series A,0.0,2019,5
91,2019-05-06,Saahas Zero Waste,Energy & Waste Management,Optimization,Bangalore,C4D Partners,Unknown,7.16595,2019,5
92,2019-05-05,Styledotme,E-Commerce,Fashion And Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge,0.0,2019,5
93,2019-05-01,Blackbuck,Logistics,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5,2019,5
